"","GOI","Freq"
"1","ENSG00000198034.11",3355
"2","ENSG00000142515.15",1655
"3","ENSG00000198755.11",1562
"4","ENSG00000163191.6",1525
"5","ENSG00000210196.2",1434
"6","ENSG00000158715.6",1392
"7","ENSG00000114391.13",1372
"8","ENSG00000142534.7",1284
"9","ENSG00000184009.12",1205
"10","ENSG00000198888.2",1154
"11","ENSG00000212907.2",1104
"12","ENSG00000087086.15",1090
"13","ENSG00000182899.17",1060
"14","ENSG00000122406.14",1058
"15","ENSG00000130255.13",1024
"16","ENSG00000108298.12",982
"17","ENSG00000231500.7",926
"18","ENSG00000137818.12",923
"19","ENSG00000213719.8",913
"20","ENSG00000234745.12",864
"21","ENSG00000140988.16",858
"22","ENSG00000063177.13",836
"23","ENSG00000198695.2",817
"24","ENSG00000112306.8",800
"25","ENSG00000122585.8",791
"26","ENSG00000177954.14",757
"27","ENSG00000169100.14",746
"28","ENSG00000124664.11",743
"29","ENSG00000211459.2",724
"30","ENSG00000229117.9",685
"31","ENSG00000101335.10",683
"32","ENSG00000014257.16",677
"33","ENSG00000170889.14",668
"34","ENSG00000205542.11",638
"35","ENSG00000102172.16",631
"36","ENSG00000233927.5",622
"37","ENSG00000107223.13",615
"38","ENSG00000167658.16",615
"39","ENSG00000228253.1",614
"40","ENSG00000156508.19",612
"41","ENSG00000198786.2",599
"42","ENSG00000237550.5",594
"43","ENSG00000111640.15",591
"44","ENSG00000204287.14",560
"45","ENSG00000166710.21",534
"46","ENSG00000068697.7",519
"47","ENSG00000096384.20",515
"48","ENSG00000167751.13",509
"49","ENSG00000185624.15",501
"50","ENSG00000233276.7",497
"51","ENSG00000089157.16",490
"52","ENSG00000110700.7",490
"53","ENSG00000106211.10",489
"54","ENSG00000171858.18",433
"55","ENSG00000100219.16",424
"56","ENSG00000165502.7",418
"57","ENSG00000184012.13",405
"58","ENSG00000211592.8",403
"59","ENSG00000115268.10",400
"60","ENSG00000135404.12",398
"61","ENSG00000265972.6",397
"62","ENSG00000179218.14",394
"63","ENSG00000204525.17",393
"64","ENSG00000169738.8",383
"65","ENSG00000130066.16",351
"66","ENSG00000162244.12",319
"67","ENSG00000227063.5",317
"68","ENSG00000184292.7",316
"69","ENSG00000136942.15",312
"70","ENSG00000143878.10",309
"71","ENSG00000167004.13",300
"72","ENSG00000204592.9",293
"73","ENSG00000197958.13",289
"74","ENSG00000142541.18",287
"75","ENSG00000148303.17",286
"76","ENSG00000187837.4",282
"77","ENSG00000174444.15",276
"78","ENSG00000080824.19",265
"79","ENSG00000128272.15",247
"80","ENSG00000177606.8",247
"81","ENSG00000182154.8",241
"82","ENSG00000175130.7",231
"83","ENSG00000136810.13",229
"84","ENSG00000188257.12",223
"85","ENSG00000108953.17",220
"86","ENSG00000229314.5",219
"87","ENSG00000163017.14",215
"88","ENSG00000248527.1",191
"89","ENSG00000197746.14",184
"90","ENSG00000279483.2",184
"91","ENSG00000167653.5",182
"92","ENSG00000160862.13",175
"93","ENSG00000159388.6",173
"94","ENSG00000225630.1",173
"95","ENSG00000129824.16",172
"96","ENSG00000142937.12",169
"97","ENSG00000149591.17",166
"98","ENSG00000126432.14",164
"99","ENSG00000125868.16",157
"100","ENSG00000167749.11",155
"101","ENSG00000182492.16",152
"102","ENSG00000141753.7",150
"103","ENSG00000143947.14",150
"104","ENSG00000227097.5",145
"105","ENSG00000034510.6",144
"106","ENSG00000044574.8",144
"107","ENSG00000170421.12",138
"108","ENSG00000110955.9",136
"109","ENSG00000115461.5",134
"110","ENSG00000126709.15",133
"111","ENSG00000160180.15",133
"112","ENSG00000172354.10",121
"113","ENSG00000039068.19",119
"114","ENSG00000108518.8",112
"115","ENSG00000089220.5",109
"116","ENSG00000159182.5",108
"117","ENSG00000204385.13",107
"118","ENSG00000242899.1",107
"119","ENSG00000096006.12",104
"120","ENSG00000105193.9",104
"121","ENSG00000163810.12",103
"122","ENSG00000124767.7",102
"123","ENSG00000198467.16",102
"124","ENSG00000114942.14",101
"125","ENSG00000159335.18",97
"126","ENSG00000167034.10",95
"127","ENSG00000132329.11",94
"128","ENSG00000100316.16",92
"129","ENSG00000075624.17",91
"130","ENSG00000263639.7",88
"131","ENSG00000102837.7",84
"132","ENSG00000110492.15",84
"133","ENSG00000163110.15",84
"134","ENSG00000166165.13",82
"135","ENSG00000173334.4",82
"136","ENSG00000115758.13",79
"137","ENSG00000166598.15",79
"138","ENSG00000158164.7",78
"139","ENSG00000009307.16",76
"140","ENSG00000189058.9",76
"141","ENSG00000118523.6",75
"142","ENSG00000125144.14",75
"143","ENSG00000131469.15",74
"144","ENSG00000130176.8",73
"145","ENSG00000103363.15",71
"146","ENSG00000169715.15",71
"147","ENSG00000163453.11",69
"148","ENSG00000204389.10",69
"149","ENSG00000109475.16",68
"150","ENSG00000211896.7",66
"151","ENSG00000179593.16",64
"152","ENSG00000117525.14",63
"153","ENSG00000165215.6",63
"154","ENSG00000172270.21",63
"155","ENSG00000177600.9",63
"156","ENSG00000135916.16",60
"157","ENSG00000197756.10",60
"158","ENSG00000123358.20",59
"159","ENSG00000142089.16",59
"160","ENSG00000128016.7",58
"161","ENSG00000140526.18",58
"162","ENSG00000070756.17",57
"163","ENSG00000175899.15",54
"164","ENSG00000211689.7",53
"165","ENSG00000108551.5",52
"166","ENSG00000143753.13",52
"167","ENSG00000179010.14",52
"168","ENSG00000244468.1",52
"169","ENSG00000152583.12",51
"170","ENSG00000127022.15",50
"171","ENSG00000176788.9",50
"172","ENSG00000171223.6",47
"173","ENSG00000189143.9",47
"174","ENSG00000201998.1",46
"175","ENSG00000204936.10",45
