#seq_name	length	coverage
contig_109	8363	61
contig_110	1397	45
contig_111	1364	57
contig_112	613	15
contig_113	683	31
contig_114	1536	41
contig_115	1918	73
contig_116	4103	66
contig_117	1929	51
contig_118	999	8
contig_119	1868	67
contig_120	3477	65
contig_124	1103	44
contig_126	33010	122
contig_127	1858	85
contig_130	1117	69
contig_132	2763	53
contig_133	47753	50
contig_134	11763	67
contig_135	3591	74
contig_136	1301	75
contig_137	2167	64
contig_139	19193	22
contig_140	3425	49
contig_142	3624	62
contig_143	20363	59
contig_144	38755	56
contig_145	13482	61
contig_146	6848	8
contig_147	8076	6
contig_148	5382	87
contig_149	1374	31
contig_150	2418	7
contig_151	2511	9
contig_152	2383	8
contig_153	3451	8
contig_154	2326	6
contig_155	3288	14
contig_156	1112	457
contig_157	1176	57
contig_158	2201	52
contig_159	970	69
contig_160	3450	50
contig_162	1517	134
contig_163	3881	71
contig_165	4119	108
contig_170	2386	8
contig_171	2367	11
contig_172	2343	15
contig_173	3000	11
contig_174	2465	8
contig_175	3738	29
contig_176	2301	9
contig_177	2946	12
contig_178	2349	11
contig_179	2691	98
contig_2	3190862	20
contig_28	1062	27
