#seq_name	length	coverage
contig_101	1661	0
contig_102	1344	0
contig_100	2005	0
contig_105	1951	0
contig_104	969	0
contig_107	1396	0
contig_106	1599	1
contig_11	1427	0
contig_110	1397	45
contig_111	1364	57
contig_112	613	15
contig_114	1536	41
contig_113	683	31
contig_103	8548	3
contig_115	1918	73
contig_118	999	8
contig_117	1929	51
contig_12	3715	1
contig_119	1868	67
contig_121	1247	0
contig_116	4103	66
contig_122	1418	0
contig_124	1103	44
contig_109	8363	61
contig_120	3477	65
contig_125	3711	3
contig_128	1653	0
contig_13	3318	1
contig_129	1656	0
contig_127	1858	85
contig_130	1117	69
contig_132	2763	53
contig_135	3591	74
contig_136	1301	75
contig_137	2167	64
contig_134	11763	67
contig_138	592	0
contig_140	3425	49
contig_142	3624	62
contig_139	19193	22
contig_143	20363	59
contig_133	47753	50
contig_146	6848	8
contig_145	13482	61
contig_144	38755	56
contig_147	8076	6
contig_149	1374	31
contig_150	2418	7
contig_15	5006	0
contig_151	2511	9
contig_152	2383	8
contig_148	5382	87
contig_154	2326	6
contig_153	3451	8
contig_155	3288	14
contig_157	1176	57
contig_159	970	69
contig_156	1112	457
contig_16	555	0
contig_158	2201	52
contig_126	33010	122
contig_160	3450	50
contig_162	1517	134
contig_168	1163	0
contig_167	1280	0
contig_171	2367	11
contig_169	1093	1
contig_17	832	1
contig_163	3881	71
contig_172	2343	15
contig_174	2465	8
contig_165	4119	108
contig_170	2386	8
contig_173	3000	11
contig_176	2301	9
contig_177	2946	12
contig_175	3738	29
contig_18	4370	1
contig_19	891	0
contig_180	1416	0
contig_178	2349	11
contig_179	2691	98
contig_22	1148	0
contig_20	937	0
contig_23	2683	0
contig_27	3079	0
contig_25	1217	1
contig_24	1352	1
contig_28	1062	27
contig_29	2461	0
contig_3	3596	0
contig_31	4181	1
contig_30	763	1
contig_33	2254	0
contig_34	4111	0
contig_37	2237	1
contig_38	676	0
contig_40	4240	0
contig_4	618	0
contig_39	996	0
contig_41	1955	0
contig_43	1083	0
contig_42	517	0
contig_45	2645	0
contig_47	4425	0
contig_46	662	0
contig_48	1675	0
contig_5	1031	2
contig_49	1603	0
contig_50	4297	0
contig_54	3785	0
contig_52	1471	1
contig_51	932	0
contig_58	2212	0
contig_56	514	1
contig_61	4499	0
contig_59	793	0
contig_62	2593	0
contig_66	733	1
contig_65	990	0
contig_7	1754	0
contig_68	975	0
contig_67	533	0
contig_70	2317	0
contig_75	4770	0
contig_78	634	1
contig_77	707	0
contig_80	575	1
contig_79	1687	0
contig_81	2770	1
contig_83	4259	0
contig_82	1789	0
contig_85	1170	0
contig_84	1627	0
contig_88	2236	0
contig_89	3256	0
contig_9	800	0
contig_90	5013	0
contig_91	2813	0
contig_96	4470	0
contig_98	909	0
contig_97	989	0
contig_2	3190862	20
contig_95	293	0
