#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_2	3175261	20	Y	N	1	none	*	2
contig_126	32924	24	Y	N	1	none	*	126
contig_133	47743	38	N	N	1	none	*	-145,-1,-1,-1,-1,-1,-108,-1,-32,-1,-1,-1,133,-164,-161,-131,1,-99,1,1,-123,8,141
contig_139	19212	41	N	N	2	none	*	-144,-6,139,166
contig_146	6771	5	N	N	1	both	*	146
contig_147	7988	29	N	N	1	both	*	147
contig_148	5350	31	Y	N	1	none	*	148
contig_149	1379	8	N	N	1	both	*	149
contig_150	2385	5	N	N	1	both	*	150
contig_151	2495	5	N	N	1	both	*	151
contig_152	2356	5	N	N	1	both	*	152
contig_153	3411	5	N	N	1	both	*	153
contig_154	2298	5	N	N	1	both	*	154
contig_155	3289	7	N	N	1	both	*	155
contig_170	2336	6	N	N	1	both	*	170
contig_171	2360	5	N	N	1	both	*	171
contig_172	2320	6	N	N	1	both	*	172
contig_173	2967	6	N	N	1	both	*	173
contig_174	2418	6	N	N	1	both	*	174
contig_175	3620	11	N	N	1	both	*	175
contig_176	2292	5	N	N	1	both	*	176
contig_177	2930	6	N	N	1	both	*	177
contig_178	2328	5	N	N	1	both	*	178
contig_3	3546	23	N	Y	1	none	*	3
contig_4	608	340	N	Y	13	none	*	4
contig_5	1027	298	N	Y	11	none	*	5
contig_7	1737	24	N	Y	1	none	*	7
contig_9	828	33	N	Y	1	none	*	9
contig_10	619	80	N	Y	3	none	*	10
contig_11	2030	42	N	Y	2	none	*	11
contig_12	3636	24	N	Y	1	none	*	12
contig_13	3162	24	N	Y	1	none	*	13
contig_14	809	54	N	Y	2	none	*	14
contig_15	4963	22	N	Y	1	none	*	15
contig_16	830	21	N	Y	1	none	*	16
contig_17	1151	21	N	Y	1	none	*	17
contig_18	4310	22	N	Y	1	none	*	18
contig_19	1881	22	N	Y	1	none	*	19
contig_20	926	22	N	Y	1	none	*	20
contig_21	866	26	N	Y	1	none	*	21
contig_22	1185	218	N	Y	8	none	*	22
contig_23	2614	17	N	Y	1	none	*	23
contig_24	1933	21	N	Y	1	none	*	24
contig_25	1771	21	N	Y	1	none	*	25
contig_26	607	906	N	Y	34	none	*	26
contig_27	3047	23	N	Y	1	none	*	27
contig_28	1058	222	N	Y	8	none	*	28
contig_29	2410	21	N	Y	1	none	*	29
contig_30	765	240	N	Y	9	none	*	30
contig_31	4112	24	N	Y	1	none	*	31
contig_33	2220	21	N	Y	1	none	*	33
contig_34	4073	22	N	Y	1	none	*	34
contig_35	600	24	N	Y	1	none	*	35
contig_36	527	276	N	Y	10	none	*	36
contig_37	2218	19	N	Y	1	none	*	37
contig_38	675	77	N	Y	3	none	*	38
contig_39	980	28	N	Y	1	none	*	39
contig_40	4221	27	N	Y	1	none	*	40
contig_41	1933	42	N	Y	2	none	*	41
contig_42	515	5	N	Y	1	none	*	42
contig_43	1197	19	N	Y	1	none	*	43
contig_44	878	14	N	Y	1	none	*	44
contig_45	2620	26	N	Y	1	none	*	45
contig_46	665	3	N	Y	1	none	*	46
contig_47	4402	24	N	Y	1	none	*	47
contig_48	2371	14	N	Y	1	none	*	48
contig_49	1517	17	N	Y	1	none	*	49
contig_50	4249	12	N	Y	1	none	*	50
contig_51	881	25	N	Y	1	none	*	51
contig_52	1403	22	N	Y	1	none	*	52
contig_53	628	266	N	Y	10	none	*	53
contig_54	3769	22	N	Y	1	none	*	54
contig_55	563	66	N	Y	2	none	*	55
contig_56	563	107	N	Y	4	none	*	56
contig_57	522	124	N	Y	5	none	*	57
contig_58	2193	18	N	Y	1	none	*	58
contig_59	822	26	N	Y	1	none	*	59
contig_60	518	20	N	Y	1	none	*	60
contig_61	4437	23	N	Y	1	none	*	61
contig_62	3059	14	N	Y	1	none	*	62
contig_63	537	252	N	Y	9	none	*	63
contig_64	622	44	N	Y	2	none	*	64
contig_65	969	16	N	Y	1	none	*	65
contig_66	1267	19	N	Y	1	none	*	66
contig_67	515	61	N	Y	2	none	*	67
contig_68	934	30	N	Y	1	none	*	68
contig_69	564	23	N	Y	1	none	*	69
contig_70	2304	22	N	Y	1	none	*	70
contig_71	519	19	N	Y	1	none	*	71
contig_72	520	19	N	Y	1	none	*	72
contig_73	1151	21	N	Y	1	none	*	73
contig_74	514	19	N	Y	1	none	*	74
contig_75	4646	13	N	Y	1	none	*	75
contig_76	632	183	N	Y	7	none	*	76
contig_77	1047	27	N	Y	1	none	*	77
contig_78	885	23	N	Y	1	none	*	78
contig_79	2067	30	N	Y	1	none	*	79
contig_80	601	29	N	Y	1	none	*	80
contig_81	2747	19	N	Y	1	none	*	81
contig_82	1735	17	N	Y	1	none	*	82
contig_83	4484	21	N	Y	1	none	*	83
contig_84	1554	22	N	Y	1	none	*	84
contig_85	1141	15	N	Y	1	none	*	85
contig_86	642	503	N	Y	19	none	*	86
contig_87	549	31	N	Y	1	none	*	87
contig_88	2728	22	N	Y	1	none	*	88
contig_89	3216	25	N	Y	1	none	*	89
contig_90	4903	26	N	Y	1	none	*	90
contig_91	2800	19	N	Y	1	none	*	91
contig_92	1378	17	N	Y	1	none	*	92
contig_93	715	21	N	Y	1	none	*	93
contig_94	528	25	N	Y	1	none	*	94
contig_95	886	321	N	Y	12	none	*	95
contig_96	4443	23	N	Y	1	none	*	96
contig_97	989	19	N	Y	1	none	*	97
contig_98	911	62	N	Y	2	none	*	98
contig_100	1989	100	N	Y	4	none	*	100
contig_101	1643	83	N	Y	3	none	*	101
contig_102	1341	75	N	Y	3	none	*	102
contig_103	8499	98	N	Y	4	none	*	103
contig_104	957	38	N	Y	1	none	*	104
contig_105	1937	28	N	Y	1	none	*	105
contig_106	1592	52	N	Y	2	none	*	106
contig_107	1409	33	N	Y	1	none	*	107
contig_109	8333	60	N	Y	2	none	*	109
contig_110	1428	74	N	Y	3	none	*	110
contig_111	1358	90	N	Y	3	none	*	111
contig_112	610	772	N	Y	29	none	*	112
contig_113	675	165	N	Y	6	none	*	113
contig_114	1531	62	N	Y	2	none	*	114
contig_115	1910	72	N	Y	3	none	*	115
contig_116	4078	64	N	Y	2	none	*	116
contig_117	1942	54	N	Y	2	none	*	117
contig_118	999	50	N	Y	2	none	*	118
contig_119	1857	63	N	Y	2	none	*	119
contig_120	3461	63	N	Y	2	none	*	120
contig_121	1241	97	N	Y	4	none	*	121
contig_122	1397	41	N	Y	2	none	*	122
contig_124	1087	206	N	Y	8	none	*	124
contig_125	3668	102	N	Y	4	none	*	125
contig_127	1842	88	N	Y	3	none	*	127
contig_128	1650	122	N	Y	5	none	*	128
contig_129	1616	0	N	Y	1	none	*	129
contig_130	1113	151	N	Y	6	none	*	130
contig_132	2751	52	N	Y	2	none	*	132
contig_134	11735	67	N	Y	2	none	*	134
contig_135	3579	72	N	Y	3	none	*	135
contig_136	1290	73	N	Y	3	none	*	136
contig_137	2152	63	N	Y	2	none	*	137
contig_138	622	58	N	Y	2	none	*	138
contig_140	3414	47	N	Y	2	none	*	140
contig_142	3608	62	N	Y	2	none	*	142
contig_143	20298	56	N	Y	2	none	*	143
contig_144	38690	54	N	Y	2	none	*	144
contig_145	13459	58	N	Y	2	none	*	145
contig_156	1102	503	N	Y	19	none	*	156
contig_157	1174	54	N	Y	2	none	*	157
contig_158	2186	56	N	Y	2	none	*	158
contig_159	968	69	N	Y	3	none	*	159
contig_160	3401	49	N	Y	2	none	*	160
contig_162	1518	136	N	Y	5	none	*	162
contig_163	3864	70	N	Y	3	none	*	163
contig_165	4099	105	N	Y	4	none	*	165
contig_167	1255	0	N	Y	1	both	*	167
contig_168	1157	0	N	Y	1	both	*	168
contig_169	1086	0	N	Y	1	both	*	169
contig_179	2697	65	N	Y	2	both	*	179
contig_180	1410	61	N	Y	2	none	*	180
