#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_2	3190862	20	Y	N	1	*	2
contig_133	47753	50	N	N	1	*	-145,-1,-1,-1,-1,-1,-108,-1,-32,-1,-1,-1,133,-164,-161,-131,1,-99,1,1,-123,8,141
contig_144	38755	56	N	Y	2	*	144
contig_126	33010	122	Y	N	4	*	126
contig_143	20363	59	N	Y	2	*	143
contig_139	19193	22	N	N	1	*	-144,-6,139,166
contig_145	13482	61	N	Y	2	*	145
contig_134	11763	67	N	Y	1	*	134
contig_109	8363	61	N	Y	2	*	109
contig_147	8076	6	N	N	1	*	*,147,*
contig_146	6848	8	N	N	1	*	*,146,*
contig_148	5382	87	Y	N	2	*	148
contig_165	4119	108	N	Y	4	*	165
contig_116	4103	66	N	Y	2	*	116
contig_163	3881	71	N	Y	3	*	163
contig_175	3738	29	N	N	2	*	*,175,*
contig_142	3624	62	N	Y	1	*	142
contig_135	3591	74	N	Y	3	*	135
contig_120	3477	65	N	Y	2	*	120
contig_153	3451	8	N	N	1	*	*,153,*
contig_160	3450	50	N	Y	2	*	160
contig_140	3425	49	N	Y	2	*	140
contig_155	3288	14	N	N	1	*	*,155,*
contig_173	3000	11	N	N	1	*	*,173,*
contig_177	2946	12	N	N	1	*	*,177,*
contig_132	2763	53	N	Y	2	*	132
contig_179	2691	98	N	Y	2	*	*,179,*
contig_151	2511	9	N	N	1	*	*,151,*
contig_174	2465	8	N	N	1	*	*,174,*
contig_150	2418	7	N	N	1	*	*,150,*
contig_170	2386	8	N	N	1	*	*,170,*
contig_152	2383	8	N	N	1	*	*,152,*
contig_171	2367	11	N	N	1	*	*,171,*
contig_178	2349	11	N	N	1	*	*,178,*
contig_172	2343	15	N	N	2	*	*,172,*
contig_154	2326	6	N	N	1	*	*,154,*
contig_176	2301	9	N	N	1	*	*,176,*
contig_158	2201	52	N	Y	1	*	158
contig_137	2167	64	N	Y	2	*	137
contig_117	1929	51	N	Y	1	*	117
contig_115	1918	73	N	Y	3	*	115
contig_119	1868	67	N	Y	2	*	119
contig_127	1858	85	N	Y	2	*	127
contig_114	1536	41	N	Y	1	*	114
contig_162	1517	134	N	Y	4	*	162
contig_110	1397	45	N	Y	1	*	110
contig_149	1374	31	N	N	3	*	*,149,*
contig_111	1364	57	N	Y	1	*	111
contig_136	1301	75	N	Y	3	*	136
contig_157	1176	57	N	Y	2	*	157
contig_130	1117	69	N	Y	2	*	130
contig_156	1112	457	N	Y	17	*	156
contig_124	1103	44	N	Y	1	*	124
contig_28	1062	27	N	Y	1	*	28
contig_118	999	8	N	Y	1	*	118
contig_159	970	69	N	Y	2	*	159
contig_113	683	31	N	Y	1	*	113
contig_112	613	15	N	Y	1	*	112
